dataset,protocol,test_cell,row_index,cycle_number,measurement_source,model,window,selected_model,selected_window,mode,availability,true_soh,pred_soh,abs_error,feature_assembly_time_ms,inference_time_ms,total_update_time_ms,model_size_kb,n_experts,measurement_val_rmse
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,10,1000.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.9462932123200192,0.9483023379584303,0.0020091256384111578,0.336700999923778,2.3704590000761527,2.7071599999999307,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,11,1100.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.9420556121867812,0.9443426733672596,0.002287061180478389,0.35696200006896106,2.3454799998035014,2.7024419998724625,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,12,1200.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.9379746201503268,0.9401219864034013,0.002147366253074434,0.39249499991456105,2.344192999998995,2.7366879999135563,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,13,1300.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.9340530286945622,0.9366584117797389,0.00260538308517666,0.34452600016265933,2.3301620001348056,2.674688000297465,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,14,1400.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.9303329460978876,0.9331870211430472,0.0028540750451595542,0.35126500006299466,2.327075000039258,2.678340000102253,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,15,1600.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.92249525210398,0.9038767504311803,0.01861850167279966,0.35850700010087166,2.262295000036829,2.620802000137701,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,16,1800.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.9144596673802964,0.9186432240655255,0.004183556685229073,0.3517790000842069,2.2402069998861407,2.5919859999703476,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,17,1900.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.910206122615971,0.9156350538067908,0.005428931190819775,0.3688290000809502,2.3352230000455165,2.7040520001264667,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,18,2000.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.9061316498413768,0.9122049587830465,0.006073308941669686,0.39326799992522865,2.3393439998926624,2.732611999817891,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,19,2100.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.9030017875869772,0.9083674784817377,0.0053656908947604665,0.3506909999941854,2.3530940000000555,2.703784999994241,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,20,2200.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.8983125553947697,0.904942932790331,0.006630377395561271,0.357659999963289,2.3141369999848393,2.6717969999481284,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,21,2300.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.8949125087814178,0.8999102384710618,0.004997729689643959,0.356055999873206,2.3654139999962354,2.7214699998694414,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,22,2400.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.8905732968994196,0.8969635396551071,0.0063902427556875585,0.35741600004257634,2.374092999843924,2.7315089998865005,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,23,2500.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.8879613973915149,0.8936620298577888,0.005700632466273836,0.3794649999235844,2.3738029999549326,2.753267999878517,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,24,2600.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.8831976725985075,0.8904244988825338,0.0072268262840263775,0.35405399989940634,2.3443029999725695,2.698356999871976,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,25,2700.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.8811590400633876,0.8869367369461032,0.005777696882715566,0.34008000011453987,2.3475450000205456,2.6876250001350854,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,26,2800.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.877879197869749,0.8839541405893971,0.0060749427196481465,0.3872209999826737,2.302585000052204,2.689806000034878,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,27,2900.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.872699646802078,0.8790602158235317,0.006360569021453655,0.36782000006496673,2.3132320000058826,2.6810520000708493,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,28,3000.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.871545753698075,0.8783793883989556,0.006833634700880609,0.3596569999899657,2.3749259999021888,2.7345829998921545,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,29,3100.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.8687317985174979,0.8749792640384758,0.0062474655209778795,0.35149100017406454,2.3265639999863197,2.6780550001603842,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,30,3200.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.86424500722424,0.8701687840091928,0.005923776784952817,0.3490379999675497,2.3516149999522895,2.700652999919839,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,31,3300.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.8629547013652372,0.8685394490167972,0.005584747651560029,0.33428300002924516,2.3418089999722724,2.6760920000015176,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,32,3500.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.8553560770889814,0.8634830199924608,0.008126942903479373,0.35602399998424517,2.3415149998982088,2.697538999882454,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,33,3600.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.854735710432437,0.8602314348638436,0.005495724431406557,0.35615100000541133,2.3682220000864618,2.724373000091873,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,34,3700.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.8517263992010133,0.8588088867354616,0.00708248753444829,0.37325399989640573,2.345889000025636,2.719142999922042,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,35,3800.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.8462746240219763,0.8528626379272284,0.006588013905252099,0.3628019999268872,2.5221189998774207,2.884920999804308,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,36,3900.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.845960046064381,0.8518956406428925,0.0059355945785114494,0.35879999995813705,2.412136999964787,2.770936999922924,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,37,4000.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.8436530255309312,0.8494807522958722,0.0058277267649409215,0.3552759999365662,2.3500639999838313,2.7053399999203975,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,38,4100.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.8394916520881424,0.8459171210653778,0.0064254689772353935,0.3504809999412828,2.294231999940166,2.644712999881449,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,39,4200.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.8381944392978427,0.8455989988089874,0.007404559511144715,0.3495869998459966,2.3575999998683983,2.707186999714395,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,40,4300.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.8356091274637388,0.8419973718411252,0.006388244377386387,0.3624199998739641,2.324131000023044,2.6865509998970083,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,41,4400.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.8330633035869601,0.839838236148133,0.006774932561172897,0.3923350000150094,2.3149540002123103,2.7072890002273198,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,42,4500.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.8290290743605105,0.835603811218276,0.00657473685776544,0.3521920000366663,2.3358650000773196,2.688057000113986,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,43,4600.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.8284948770035598,0.8349035705176433,0.006408693514083463,0.3525120000631432,2.328090999981214,2.680603000044357,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,44,4800.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.8237963037635181,0.8296585630617881,0.005862259298270001,0.3350950000822195,2.3539989999790123,2.689094000061232,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,45,5000.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.8175862687561571,0.8243454437515152,0.006759174995358053,0.3423629998451361,2.3611569999957283,2.7035199998408643,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,46,5100.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.81612510264391,0.8218887874430125,0.0057636847991024975,0.35834999994222017,2.3391079998873465,2.6974579998295667,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,47,5200.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.8115478796870129,0.8162825651869999,0.0047346854999870125,0.35790800006907375,2.36673599988535,2.7246439999544236,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,48,5300.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.8115996346341946,0.8174589850380342,0.005859350403839558,0.37598700009766617,2.3609980000856012,2.7369850001832674,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,49,5400.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.8092949035875885,0.8147673062031953,0.005472402615606775,0.363028999800008,2.366981000022861,2.730009999822869,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,50,5500.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.8040473107856494,0.808032402749976,0.003985091964326615,0.361161999990145,2.37240199999178,2.733563999981925,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,51,5600.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.8043008913509206,0.8107967465039945,0.006495855153073826,0.33839000002444664,2.332838000029369,2.6712280000538158,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,52,5700.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.8021222991198484,0.8077218837470045,0.00559958462715604,0.34215499999845633,2.296543000056772,2.6386980000552285,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,53,5800.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.7988318806009727,0.8060614831592192,0.007229602558246562,0.3567560002011305,2.3011240000414546,2.657880000242585,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,54,5900.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.7975083272562412,0.8037810443349194,0.006272717078678158,0.34486200001992984,2.3709170000074664,2.7157790000273963,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,55,6000.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.7957091281373936,0.8024954304713785,0.006786302333984917,0.3419890001623571,2.312820000042848,2.654809000205205,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,56,6100.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.7922496508333569,0.7979792409132096,0.005729590079852742,0.3404229998977826,2.311227000063809,2.6516499999615917,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,57,6200.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.7925013185026814,0.7997176012224679,0.007216282719786582,0.3578309999738849,2.3487500000101136,2.7065809999839985,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,58,6300.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.7903439313034647,0.7968095496646493,0.006465618361184644,0.35647999993670965,2.3005780001312814,2.657058000067991,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,59,6400.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.7864526763105241,0.7923507831249605,0.005898106814436477,0.3613229998791212,2.3427589999300835,2.7040819998092047,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,60,6500.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.7869654766759802,0.7946366807468941,0.007671204070913928,0.3765159999602474,2.3207100000490755,2.697226000009323,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,61,6600.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.7847718420047651,0.7925915699755606,0.007819727970795443,0.34550600003058207,2.3346670000137237,2.680173000044306,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,62,6700.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.7815252944168616,0.7869611537496378,0.005435859332776238,0.34164299995609326,2.2465069998816034,2.5881499998376967,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,63,6800.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.7814651034832552,0.7911050407329838,0.00963993724972867,0.36913599979016,2.337589000035223,2.706724999825383,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,64,6900.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.7798785735508862,0.788193086110354,0.008314512559467802,0.35723400014830986,2.329952000081903,2.687186000230213,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,65,7000.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.7753883248459464,0.7811109416096147,0.0057226167636682534,0.3731050001078984,2.359038000122382,2.7321430002302804,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,66,7100.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.7753883248459464,0.7817123094249556,0.006323984579009179,0.34999100012100826,2.3743879999074124,2.7243790000284207,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,67,7200.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.7779231095197319,0.7860203998870017,0.008097290367269805,0.3384130000085861,2.349138999989009,2.687551999997595,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,68,7300.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.773953607918759,0.7839724633569675,0.010018855438208463,0.3467740000360209,2.3993560000690195,2.7461300001050404,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,69,7400.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.7717875186682972,0.7822163892718038,0.010428870603506613,0.36593499999071355,2.363779000006616,2.7297139999973297,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,70,7500.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.7688532848321806,0.7800485119563211,0.01119522712414045,0.37418299984892656,2.3936649999996007,2.7678479998485273,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,71,7600.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.7682106895603251,0.7785216906281505,0.010311001067825343,0.3727240000443999,2.350285999909829,2.723009999954229,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,72,7700.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.7668040273467023,0.7768656247069435,0.010061597360241259,0.35446500010039017,2.375634999907561,2.730100000007951,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,73,7800.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.7633855168204102,0.7736328839443896,0.010247367123979334,0.3537710001637606,2.4165700001503865,2.770341000314147,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,74,7900.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.763508806992054,0.7744152788081407,0.010906471816086616,0.3529069999785861,2.3702769999545126,2.7231839999330987,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,75,8000.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.7617888445406081,0.7733633770090933,0.011574532468485166,0.3444540000145935,2.373907999981384,2.7183619999959774,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,76,8100.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.757685458226604,0.7681121862071875,0.010426727980583417,0.3501910000522912,2.306979999957548,2.657171000009839,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,77,8200.0,Best-single-selected,Best-single-selected,per_fold_selected,Ridge,narrow_375_395,measurement_update,1.0,0.75854593254061,0.7706180169045367,0.012072084363926705,0.37334800003918645,2.3454359998140717,2.718783999853258,2.234375,1,0.004273322351673966
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,0,0.0,MAW-GME-full-40experts,MAW-GME-full-40experts,adaptive_windows,MAW-GME-full-40experts,adaptive_windows,measurement_update,1.0,1.0,1.000666987810143,0.0006669878101430715,10.012026999902446,1018.0956730000617,1028.107699999964,167532.0068359375,40,0.008017191655884324
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,1,100.0,MAW-GME-full-40experts,MAW-GME-full-40experts,adaptive_windows,MAW-GME-full-40experts,adaptive_windows,measurement_update,1.0,0.9879341903869114,0.9908019753298234,0.002867784942911955,11.559874000113268,1047.9512989998057,1059.511172999919,167532.0068359375,40,0.008017191655884324
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,2,200.0,MAW-GME-full-40experts,MAW-GME-full-40experts,adaptive_windows,MAW-GME-full-40experts,adaptive_windows,measurement_update,1.0,0.9819185685326264,0.9864417319325438,0.004523163399917429,10.432794000053036,1070.9055710001394,1081.3383650001924,167532.0068359375,40,0.008017191655884324
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,3,300.0,MAW-GME-full-40experts,MAW-GME-full-40experts,adaptive_windows,MAW-GME-full-40experts,adaptive_windows,measurement_update,1.0,0.9779901456267632,0.9809998110072743,0.003009665380511062,10.292791999972906,1058.8653119998526,1069.1581039998255,167532.0068359375,40,0.008017191655884324
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,4,400.0,MAW-GME-full-40experts,MAW-GME-full-40experts,adaptive_windows,MAW-GME-full-40experts,adaptive_windows,measurement_update,1.0,0.971933813142211,0.9746417675014374,0.002707954359226439,10.325292999823432,1066.3442980001037,1076.669590999927,167532.0068359375,40,0.008017191655884324
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,5,500.0,MAW-GME-full-40experts,MAW-GME-full-40experts,adaptive_windows,MAW-GME-full-40experts,adaptive_windows,measurement_update,1.0,0.9673496633874816,0.9697603849629884,0.0024107215755068134,10.283223999977054,1039.0092339998773,1049.2924579998544,167532.0068359375,40,0.008017191655884324
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,6,600.0,MAW-GME-full-40experts,MAW-GME-full-40experts,adaptive_windows,MAW-GME-full-40experts,adaptive_windows,measurement_update,1.0,0.9628059674337692,0.964559890889038,0.0017539234552688132,10.293219999994108,997.2070249998524,1007.5002449998465,167532.0068359375,40,0.008017191655884324
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,7,700.0,MAW-GME-full-40experts,MAW-GME-full-40experts,adaptive_windows,MAW-GME-full-40experts,adaptive_windows,measurement_update,1.0,0.9599805615275302,0.9612258927870758,0.0012453312595456234,10.549380999918867,1009.8138340001697,1020.3632150000885,167532.0068359375,40,0.008017191655884324
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,8,800.0,MAW-GME-full-40experts,MAW-GME-full-40experts,adaptive_windows,MAW-GME-full-40experts,adaptive_windows,measurement_update,1.0,0.9549960513654362,0.9563260212342962,0.0013299698688600259,10.365700999955152,1044.5111100000304,1054.8768109999855,167532.0068359375,40,0.008017191655884324
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,9,900.0,MAW-GME-full-40experts,MAW-GME-full-40experts,adaptive_windows,MAW-GME-full-40experts,adaptive_windows,measurement_update,1.0,0.9505271222934892,0.9525012249801121,0.0019741026866229028,10.331263999887597,1026.802301999851,1037.1335659997385,167532.0068359375,40,0.008017191655884324
Dataset 2,BMS-1_runtime_fast_pruned,Cell1,10,1000.0,MAW-GME-full-40experts,MAW-GME-full-40experts,adaptive_windows,MAW-GME-full-40experts,adaptive_windows,measurement_update,1.0,0.9462932123200192,0.948511051775135,0.0022178394551157776,10.240979999935007,1030.1229619999503,1040.3639419998854,167532.0068359375,40,0.008017191655884324
