dataset,protocol,test_cell,row_index,cycle_number,stress_scenario,scenario_family,allowed_windows,removed_feature_group,measurement_source,model,window,selected_model,selected_window,mode,availability,true_soh,pred_soh,abs_error,feature_assembly_time_ms,inference_time_ms,total_update_time_ms,model_size_kb,n_experts,measurement_val_rmse
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,10,588.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.9739146801541868,0.9740512371063232,0.00013655695213643515,0.20188999997117207,1.818379000042114,2.020269000013286,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,11,654.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.972318570319827,0.9720627069473267,0.0002558633725003867,0.20428000016181613,1.7812399999002082,1.9855200000620243,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,12,721.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.969576210100282,0.9698635339736938,0.00028732387341179333,0.19571899997572473,1.7616899999666202,1.957408999942345,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,13,788.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.9680450155785733,0.9674453735351562,0.0005996420434170036,0.19718999988072028,1.730059000010442,1.9272489998911624,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,14,854.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.9657280156958624,0.965427577495575,0.00030043820028746726,0.210229000003892,1.8135899999833782,2.02381899998727,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,15,921.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.963999874717116,0.964021623134613,2.1748417497025052e-05,0.21949999995740654,1.8310790001123678,2.0505790000697743,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,16,987.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.9620043706709784,0.9619442224502563,6.014822072208936e-05,0.22174100013216957,1.89870899998823,2.1204500001203996,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,17,1053.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.9597059284991188,0.9595649838447571,0.00014094465436176318,0.221620000047551,1.7696390000310203,1.9912590000785713,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,18,1129.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.9574626460053548,0.9573391675949097,0.00012347841044513252,0.21661999994648795,1.7836100000749866,2.0002300000214746,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,19,1203.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.9552010992032866,0.955173671245575,2.7427957711601003e-05,0.209949999998571,1.8299089999800344,2.0398589999786054,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,20,1270.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.9533071124370616,0.9534097909927368,0.00010267855567525075,0.20233999998708896,1.8433499999446212,2.04568999993171,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,21,1337.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.9506288606731808,0.9506339430809021,5.0824077213462715e-06,0.20737899990308506,1.8344899999647168,2.041868999867802,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,22,1405.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.9492707003012548,0.9489971399307251,0.00027356037052972404,0.21539999988817726,1.8377999999756867,2.053199999863864,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,23,1472.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.9471227002833592,0.9472659230232239,0.00014322273986466794,0.2592790001472167,1.9425489999775891,2.201828000124806,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,24,1537.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.945003380364045,0.9442662596702576,0.0007371206937873964,0.24891999987630697,3.2280899999932444,3.4770099998695514,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,25,1612.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.9435202305087722,0.9430770874023438,0.00044314310642845633,0.35221999996792874,2.409189999980299,2.761409999948228,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,26,1679.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.941828618146642,0.9415493607521057,0.00027925739453626974,0.2520590001040546,2.7548589998787065,3.006917999982761,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,27,1745.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.9396039667143572,0.9398537278175354,0.0002497611031782032,0.41179999993801175,2.5719889999891166,2.9837889999271283,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,28,1812.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.937486700612854,0.9375331997871399,4.649917428589667e-05,0.2635700000155339,2.1801289999530127,2.4436989999685466,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,29,1876.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.9361006669993338,0.9359096884727478,0.00019097852658600534,0.213880000046629,1.9945999999890773,2.2084800000357063,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,30,1943.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.9335597276256146,0.9340991973876953,0.0005394697620807465,0.21738999998888175,2.3334190000241506,2.5508090000130323,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,31,2011.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.9317008024632888,0.9325253963470459,0.0008245938837571076,0.2048699998340453,1.9227800000862771,2.1276499999203224,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,32,2079.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.9298218525773948,0.9297099709510803,0.00011188162631448062,0.1987200000712619,1.8632989999787242,2.062019000049986,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,33,2147.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.9278246614666464,0.928256094455719,0.00043143298907255545,0.20782000001418055,1.8098999998983345,2.017719999912515,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,34,2215.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.9254009364088848,0.9267022013664246,0.0013012649575397939,0.2210210000157531,1.778478999995059,1.999500000010812,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,35,2292.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.9232756017374448,0.9239059090614319,0.000630307323987056,0.21644999992531666,1.7917889999807812,2.008238999906098,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,36,2361.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.9213049635568388,0.9223415851593018,0.0010366216024629837,0.21273900006235635,1.782279999815728,1.9950189998780843,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,37,2430.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.918961924198426,0.9199123382568359,0.0009504140584098986,0.19466999992800993,1.8726299999798357,2.0672999999078456,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,38,2499.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.9169389870145144,0.9179619550704956,0.0010229680559812326,0.22036899986233038,1.8027700000402547,2.023138999902585,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,39,2569.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.9135935378676696,0.9158031344413757,0.0022095965737061185,0.1997100000608043,1.8972089999351738,2.096918999995978,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,40,2638.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.9104155482222852,0.9131852388381958,0.0027696906159105916,0.2085690000512841,1.8023899999661808,2.010959000017465,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,41,2706.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.9063084260735952,0.9114474654197693,0.005139039346174101,0.21973999992042081,1.839049000182058,2.058789000102479,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,42,2774.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7222222222222222,0.9006946818661891,0.9051405191421509,0.004445837275961817,0.22259999991547375,1.8028699998922093,2.025469999807683,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,43,2874.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.8953253419771633,0.9036056995391846,0.008280357562021279,0.21502000004147703,1.774938999915321,1.989958999956798,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,44,2940.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.888314708262148,0.8983468413352966,0.010032133073148652,0.19668999993882608,1.8066000000089844,2.0032899999478104,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,45,3010.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.88132270560862,0.8937897086143494,0.012467003005729338,0.20749999998770363,1.7981890000555723,2.005689000043276,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,46,3081.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.8743309963576303,0.8850536942481995,0.010722697890569122,0.19614999996520055,1.8121199998404336,2.008269999805634,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,47,3151.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.8665600833028503,0.8744288682937622,0.007868784990911926,0.20377999999254826,1.8639689999417897,2.067748999934338,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,48,3224.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.8592289806601507,0.8667970895767212,0.0075681089165704485,0.2102399998875626,1.812219999919762,2.0224599998073245,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,49,3296.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.8507420920496203,0.8591722846031189,0.008430192553498639,0.20767999990312092,1.7867990000013378,1.9944789999044588,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,50,3368.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.8418774476648708,0.8486371040344238,0.006759656369553002,0.2054100000350445,1.7487300001448602,1.9541400001799047,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,51,3443.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.8326007927589988,0.8393476009368896,0.006746808177890862,0.20494000000326196,1.7422590001388016,1.9471990001420636,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,52,3524.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.8233981486446224,0.8322553038597107,0.008857155215088341,0.19995000002381857,1.7530600000554841,1.9530100000793027,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,53,3597.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.8146448505249737,0.8227387070655823,0.008093856540608568,0.21435899998323293,1.8585790000997804,2.0729380000830133,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,54,3671.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.8053133293435469,0.813965916633606,0.008652587290059022,0.2091700000619312,1.7428900000595604,1.9520600001214916,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,55,3746.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.7949997898504279,0.8027942776679993,0.007794487817571416,0.19657899997582717,1.751338999838481,1.9479179998143081,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,56,3821.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Best-single-selected,Best-single-selected,per_fold_selected,XGBoost,very_narrow_335_340,measurement_update,0.7777777777777778,0.7832365483919445,0.7972157597541809,0.013979211362236454,0.2076100001886516,1.8019999999978609,2.0096100001865125,580.0185546875,1,0.0016949740287349414
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,0,0.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Fast-MAW-GME-K3-latency-aware,Fast-MAW-GME-K3-latency-aware,adaptive_windows,Fast-MAW-GME-K3-latency-aware,adaptive_windows,measurement_update,0.7777777777777778,1.0,0.9993624646722319,0.0006375353277681128,0.6199290000949986,5.091198999934932,5.71112800002993,1724.1376953125,3,0.0017125849692804181
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,1,0.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Fast-MAW-GME-K3-latency-aware,Fast-MAW-GME-K3-latency-aware,adaptive_windows,Fast-MAW-GME-K3-latency-aware,adaptive_windows,measurement_update,0.7777777777777778,0.997733465354695,0.9973056258823971,0.0004278394722978529,0.6269100001645711,5.0980390001313935,5.724949000295965,1724.1376953125,3,0.0017125849692804181
Dataset 3,BMS-3B_structured_missing_fast_pruned,Cell51,2,68.0,all_windows_available,consolidated_window_availability,full_27_36;medium_32_35;narrow_33_345;paper_335_350;very_narrow_335_340,none,Fast-MAW-GME-K3-latency-aware,Fast-MAW-GME-K3-latency-aware,adaptive_windows,Fast-MAW-GME-K3-latency-aware,adaptive_windows,measurement_update,0.7777777777777778,0.9932091247897517,0.9929947756202664,0.00021434916948526173,0.59348000013415,5.195508000042537,5.788988000176687,1724.1376953125,3,0.0017125849692804181
